user,author_login,committer_login
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
TorontoMedia,3,2
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
olsajiri,283,280
None,24699,10749
MaoHan001,18,3
ColinIanKing,589,120
None,24699,10749
None,24699,145
dhowells,252,249
dhowells,252,249
dhowells,252,249
dhowells,252,249
dhowells,252,249
None,24699,7902
claudiu-m,26,7902
claudiu-m,26,7902
claudiu-m,26,7902
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
sfrothwell,34,3772
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,200
None,24699,9
None,24699,9
None,24699,298
None,24699,298
dhowells,252,249
None,24699,3233
None,24699,3233
None,24699,3233
None,24699,3233
Kwiboo,32,1879
None,24699,1879
None,24699,1879
Kwiboo,32,1879
Kwiboo,32,1879
None,24699,10749
None,24699,10749
raphaelgault,4,2
tytso,39,214
torvalds,2374,3772
airlied,298,323
torvalds,2374,3772
hnaz,30,3772
hnaz,30,3772
hnaz,30,3772
hnaz,30,3772
None,24699,3772
None,24699,3772
cdown,12,3772
masahir0y,495,3772
bebarino,238,3772
bebarino,238,3772
bebarino,238,3772
None,24699,3772
None,24699,3772
None,24699,3772
aakoskin,27,3772
ftang1,7,3772
greghackmann,5,3772
vo4,5,3772
greghackmann,5,3772
None,24699,3772
masatake,1,3772
linuxinternals,1,3772
None,24699,3772
sandeen,6,3772
None,24699,3772
None,24699,3772
None,24699,3772
None,24699,3772
brauner,72,3772
andy-shev,382,3772
kengiter,88,3772
None,24699,3772
None,24699,3772
None,24699,3772
None,24699,3772
malaterre,47,3772
None,24699,3772
None,24699,3772
None,24699,3772
akpm00,12,3772
akpm00,12,3772
Villemoes,57,3772
YuryNorov,6,3772
YuryNorov,6,3772
YuryNorov,6,3772
YuryNorov,6,3772
YuryNorov,6,3772
andy-shev,382,3772
andy-shev,382,3772
None,24699,3772
None,24699,3772
None,24699,3772
None,24699,3772
None,24699,3772
